threshold,model,net_benefit,treat_all
0.05,M1,0.15518837689623247,0.14915841701683166
0.060000000000000005,M1,0.14858108043263374,0.14010691081488305
0.07,M1,0.14256890790131,0.13086074856558072
0.08000000000000002,M1,0.13704379204173286,0.12141358278911964
0.09000000000000001,M1,0.13078757057106177,0.1117587869955935
0.1,M1,0.12649726858116572,0.10188944018443341
0.11000000000000001,M1,0.12034179197518663,0.09179831029886525
0.12000000000000001,M1,0.1138516422684217,0.08147783655226144
0.13,M1,0.10963350079583574,0.07092011053562076
0.14,M1,0.10444661232967241,0.060116856006965175
0.15000000000000002,M1,0.1002945156411685,0.04905940725410596
0.16000000000000003,M1,0.0982236827974311,0.037738685911892916
0.17000000000000004,M1,0.09412480775605805,0.026145176103602452
0.18000000000000005,M1,0.0888038109068506,0.014268897763402483
0.19,M1,0.08447072843404224,0.0020993779827038206
0.2,M1,0.08028867839422643,-0.010374379792512406
0.21000000000000002,M1,0.07415083674483136,-0.023163928903810027
0.22000000000000003,M1,0.07058510576778505,-0.036281415171807635
0.23000000000000004,M1,0.06781716253976063,-0.04973961536884408
0.24000000000000005,M1,0.06580727868385441,-0.06355197872896048
0.25000000000000006,M1,0.06269733874605321,-0.07773267177867996
0.26000000000000006,M1,0.05994221555791243,-0.09229662680271619
0.27,M1,0.058026087332628935,-0.10725959429316431
0.28,M1,0.05322507893549841,-0.1226381997694583
0.29000000000000004,M1,0.04933071591479412,-0.13845000540001404
0.30000000000000004,M1,0.045685933371995606,-0.15471357690572854
0.31000000000000005,M1,0.0454393912651252,-0.17144855628117392
0.32000000000000006,M1,0.04383241794688105,-0.18867574093236764
0.33,M1,0.0436181743515171,-0.20641716990150746
0.34,M1,0.04114213857109662,-0.22469621793031816
0.35000000000000003,M1,0.04090767148953887,-0.2435376982061692
0.36000000000000004,M1,0.03918583671628326,-0.2629679747406406
0.37000000000000005,M1,0.03820406526766471,-0.28301508545080956
0.38000000000000006,M1,0.035371833486111705,-0.3037088771516291
0.39000000000000007,M1,0.03147807182945495,-0.325081153826246
0.4000000000000001,M1,0.02871748609231693,-0.34716583972335013
0.4100000000000001,M1,0.027445853688371054,-0.36999915904069514
0.42000000000000004,M1,0.02533712845877467,-0.393619834196569
0.43000000000000005,M1,0.02465794617350774,-0.4180693049719474
0.44000000000000006,M1,0.023100715252271403,-0.4433919711321608
0.45000000000000007,M1,0.02091278139992618,-0.4696354615163819
0.4600000000000001,M1,0.019880051454250813,-0.4968509330259445
